alternative_names,classification,first_name,frequency_female,frequency_male,frequency_total,frequency_group,group_name,ratio,
EISA|EIZA|HISA|HIZA|ISAR|IZA|IZAR|UISA|UIZA|YSA|YZA,F,ISA,12448,99,12547,20641,ISA,0.9921096676496374,3
EISE|EIZE|HISAE|ISAE|IZE|IZER,F,ISE,162,,162,488,ISE,1.0,3
EIZI|ISY|IZI|IZY,F,ISI,201,,201,427,ISI,1.0,3
EIZO|IZO,M,ISO,,98,98,270,ISO,1.0,3
EIZI|ISI|IZI|IZY,F,ISY,40,,40,427,ISI,1.0,3
HITA|ITAR|UITA,F,ITA,1060,154,1214,1302,ITA,0.8731466227347611,3
EITHOR|EITO|EITOR|EYTOR|HEITHOR|HEITO|HEITOR|HEYTHOR|HEYTOR|HITO|HITOR|ITOR|ITUO,M,ITO,,650,650,43583,HEITOR,1.0,3
YU|YUR,M,IUR,,36,36,82,YUR,1.0,3
EIVA|HIVA|IVAR,F,IVA,9476,1556,11032,12009,IVA,0.8589557650471356,3
EIVE|IVER|YVE,F,IVE,704,76,780,1029,IVE,0.9025641025641026,3
IVY|YVI|YVY,F,IVI,748,111,859,2353,IVY,0.8707799767171129,3
HIVO|IVOR|UIVO|YVO,M,IVO,177,62913,63090,63689,IVO,0.9971944840703757,3
IVI|YVI|YVY,F,IVY,1321,45,1366,2353,IVY,0.9670571010248902,3
EISA|EIZA|HISA|HIZA|ISA|ISAR|IZAR|UISA|UIZA|YSA|YZA,F,IZA,7152,66,7218,20641,ISA,0.9908561928512053,3
EISE|EIZE|HISAE|ISAE|ISE|IZER,F,IZE,146,,146,488,ISE,1.0,3
EIZI|ISI|ISY|IZY,F,IZI,135,,135,427,ISI,1.0,3
EIZO|ISO,M,IZO,,93,93,270,ISO,1.0,3
EIZI|ISI|ISY|IZI,F,IZY,26,,26,427,ISI,1.0,3
JAK,M,JAC,22,48,70,175,JAK,0.6857142857142857,3
,F,JAD,186,52,238,238,JAD,0.7815126050420168,3
GE|GER|JAER|JE,M,JAE,46,122,168,168,JAE,0.7261904761904762,3
GAIR|GIA|GUIA|JAHIR|JAHY|JAHYR|JAIR|JAUIR|JAY|JAYR|JHAIR|JIA|JUIA,M,JAI,55,482,537,153936,JAIR,0.8975791433891993,3
JAC,M,JAK,31,74,105,175,JAK,0.7047619047619048,3
GAN|JAHN|JAN|JANN|JHAN,M,JAM,,184,184,2892,JAN,1.0,3
GAN|JAHN|JAM|JANN|JHAN,M,JAN,134,2369,2503,2892,JAN,0.9464642429085098,3
GAO|JAAO,M,JAO,24,3754,3778,3845,JAO,0.9936474325039704,3
,M,JAU,,69,69,69,JAU,1.0,3
,M,JAX,,198,198,198,JAX,1.0,3
GAIR|GIA|GUIA|JAHIR|JAHY|JAHYR|JAI|JAIR|JAUIR|JAYR|JHAIR|JIA|JUIA,M,JAY,,124,124,153936,JAIR,1.0,3
GEA|GEAR|JEAR,M,JEA,,146,146,310,JEA,1.0,3
,M,JED,,26,26,26,JED,1.0,3
JEFF|JHEFF,M,JEF,,55,55,374,JEFF,1.0,3
GEN|JAEN,M,JEN,,108,108,219,JEN,1.0,3
GEO,M,JEO,,33,33,167,GEO,1.0,3
GEU|JEHU,M,JEU,,260,260,451,JEU,1.0,3
GAEL|GAIL|GAL|GEEL|GEIEL|GEIL|GEL|GIEL|GIL|GOEL|GUEL|GUIL|JAEL|JAIL|JAL|JAUL|JEEL|JEIEL|JEIL|JEL|JEUEL|JEYEL|JHOL|JIEL|JOAEL|JOAL|JOEL|JOIEL|JOIL|JOL|JUEL,M,JIL,,167,167,159398,JOEL,1.0,3
GIM|GIN|JIN,M,JIM,,169,169,559,JIN,1.0,3
GIM|GIN|JIM,M,JIN,126,203,329,559,JIN,0.6170212765957447,3
JOAA|JOAR,M,JOA,60,4781,4841,4916,JOA,0.9876058665564966,3
,M,JOB,,2110,2110,2110,JOB,1.0,3
JHOE|JOAE|JOER|JOHE,M,JOE,44,2053,2097,2561,JOE,0.9790176442536958,3
GO|GOR|GUO|HGOR|JHO|JO|JOR|JUHO,M,JOH,,99,99,302,JOH,1.0,3
JHOEY|JHOI|JHOY|JOEY|JOIR|JOY,M,JOI,28,271,299,1429,JOIR,0.9063545150501672,3
JHOHN|JHOM|JHON|JHONH|JHONN|JOHM|JOHN|JOHNN|JOM|JONH|JONHN|JONN|JONNH,M,JON,26,2558,2584,48757,JOHN,0.989938080495356,3
,M,JOO,26,533,559,559,JOO,0.9534883720930233,3
GO|GOR|GUO|HGOR|JHO|JO|JOH|JUHO,M,JOR,,28,28,302,JOH,1.0,3
JOSR,M,JOS,21,1636,1657,4271,JOSR,0.9873264936632469,3
GU|JHOU|JU,M,JOU,,27,27,74,JHOU,1.0,3
JHOW,M,JOW,,30,30,129,JHOW,1.0,3
JHOEY|JHOI|JHOY|JOEY|JOI|JOIR,M,JOY,121,289,410,1429,JOIR,0.7048780487804878,3
JUAR,M,JUA,,54,54,89,JUA,1.0,3
GEI|GEIR|GEY|GI|GUI|GUY|JEI|JEIR|JI|JIR|JUIR,M,JUI,,21,21,1114,GUY,1.0,3
JHUN|JUHN|JUN,M,JUM,,25,25,452,JUN,1.0,3
JHUN|JUHN|JUM,M,JUN,22,322,344,452,JUN,0.936046511627907,3
CAE|CAHE|CE|KAER|KAHE|KE,M,KAE,,257,257,516,KAE,1.0,3
CAI|CAII|CAUI|CIA|KAUEI|KAUI|KAY,M,KAI,,102,102,510,CAI,1.0,3
CAEL|CAIL|CAL|CEIL|CIEL|CIL|CL|KAEL|KAIL|KAUAL|KAUEL|KAUL|KEL|KHAEL|KIEL|KIL,M,KAL,,75,75,1839,KAEL,1.0,3
CAAN|KAAN|KAHAN,M,KAN,,61,61,200,KAAN,1.0,3
CAO|CAUO|CAYO|KAOR|KAYO|KHAYO,M,KAO,22,81,103,5160,KAYO,0.7864077669902912,3
KATH,F,KAT,54,,54,134,KATH,1.0,3
CAU,M,KAU,,101,101,175,KAU,1.0,3
CAI|CAII|CAUI|CIA|KAI|KAUEI|KAUI,F,KAY,56,30,86,510,CAI,0.6511627906976745,3
CEI|CEIR|CI|CIR|KEY|KI,F,KEI,39,37,76,518,CEIR,0.5131578947368421,3
CAEL|CAIL|CAL|CEIL|CIEL|CIL|CL|KAEL|KAIL|KAL|KAUAL|KAUEL|KAUL|KHAEL|KIEL|KIL,M,KEL,81,92,173,1839,KAEL,0.5317919075144508,3
KAEN|KEM,M,KEN,,191,191,242,KEN,1.0,3
KETH,F,KET,59,,59,151,KETH,1.0,3
CEI|CEIR|CI|CIR|KEI|KI,M,KEY,38,41,79,518,CEIR,0.5189873417721519,3
CID|CYD|KEID,M,KID,,86,86,3620,CID,1.0,3
CAEL|CAIL|CAL|CEIL|CIEL|CIL|CL|KAEL|KAIL|KAL|KAUAL|KAUEL|KAUL|KEL|KHAEL|KIEL,M,KIL,,27,27,1839,KAEL,1.0,3
KEIN|KIN|KYM,M,KIM,170,948,1118,1381,KIM,0.8479427549194991,3
KEIN|KIM|KYM,M,KIN,32,163,195,1381,KIM,0.8358974358974359,3
CO|COR|KO|KYO,M,KUO,21,29,50,249,COR,0.58,3
KEIN|KIM|KIN,M,KYM,,23,23,1381,KIM,1.0,3
AALIYAH|AELIA|AILIA|ALAI|ALAIR|ALAUIR|ALAY|ALAYR|ALIA|ALYA|ALYAH|AULAIR|AULIA|ELAI|ELAIR|ELHIA|ELIA|ELIAA|ELIAH|ELIAR|ELYA|EUALIA|EULAIR|EULIA|HALIA|HELAIR|HELIA|HILIA|ILAI|ILAIR|ILIA|IULIA|LAHIR|LAIR|LAUIR|LAY|LAYR|LIA|LIAH|LIIA|LUIA|LYA|OELIA|OLAI|OLAIR|OLIA|UELIA|UILHIA|UILIA|ULIA|YULIA,F,LAI,184,116,300,68767,LIA,0.6133333333333333,3
AALAN|AHLAM|AILAM|AILAN|ALAAN|ALAM|ALAN|ALANN|AYLAN|EILAN|ELAM|ELAN|EULAN|HAILAN|HALAN|HAYLAN|HELAN|HILAN|HUILHAN|IALAN|ILAM|ILAN|ILHAM|ILHAN|IOLAN|LAAN|LAN|OLAN|UALAN|UILAM|UILAN|UILHAM|UILHAN|YLAN,M,LAM,,21,21,221601,ALAN,1.0,3
AALAN|AHLAM|AILAM|AILAN|ALAAN|ALAM|ALAN|ALANN|AYLAN|EILAN|ELAM|ELAN|EULAN|HAILAN|HALAN|HAYLAN|HELAN|HILAN|HUILHAN|IALAN|ILAM|ILAN|ILHAM|ILHAN|IOLAN|LAAN|LAM|OLAN|UALAN|UILAM|UILAN|UILHAM|UILHAN|YLAN,M,LAN,32,99,131,221601,ALAN,0.7557251908396947,3
ALAO|ALAOR|ELAO|LAOR|LAYO|OLAOR,M,LAO,,35,35,7107,ALAOR,1.0,3
ALAS|ELAS|EULAS|HALAS|HILAS|HUALAS|IALAS|ILAS|OALAS|UALAS|UILAS|UILHAS,F,LAS,31,,31,2237,UALAS,1.0,3
ALAUR|LAUR,M,LAU,31,220,251,426,LAU,0.8764940239043825,3
AALIYAH|AELIA|AILIA|ALAI|ALAIR|ALAUIR|ALAY|ALAYR|ALIA|ALYA|ALYAH|AULAIR|AULIA|ELAI|ELAIR|ELHIA|ELIA|ELIAA|ELIAH|ELIAR|ELYA|EUALIA|EULAIR|EULIA|HALIA|HELAIR|HELIA|HILIA|ILAI|ILAIR|ILIA|IULIA|LAHIR|LAI|LAIR|LAUIR|LAYR|LIA|LIAH|LIIA|LUIA|LYA|OELIA|OLAI|OLAIR|OLIA|UELIA|UILHIA|UILIA|ULIA|YULIA,F,LAY,69,,69,68767,LIA,1.0,3
AELDA|AILDA|ALBA|ALBAR|ALDA|ALDAR|EILDA|ELBA|ELDA|ELDAR|EULDA|HAILDA|HALDA|HELBA|HELDA|HIELDA|HILDA|HLDA|HOLDA|HULDA|HYLDA|IALDA|IELBA|IELDA|ILBA|ILDA|ILDAR|IULDA|OILDA|OLDA|UELBA|UELDA|UILDA|ULDA|YLDA,F,LDA,32,,32,195110,ILDA,1.0,3
ALEA|ELEA|HELEA|ILEA|LEAH|LEAR,F,LEA,15596,50,15646,16081,LEA,0.996804295027483,3
,M,LED,,24,24,24,LED,1.0,3
,M,LEE,237,578,815,815,LEE,0.7092024539877301,3
AELI|AILI|AILY|ALEI|ALEIR|ALEY|ALI|ALIR|ALUIR|ALY|AULEIR|AULI|EILI|ELEI|ELEIR|ELEY|ELHI|ELI|ELIR|ELIY|ELUI|ELUIR|ELY|ELYR|EOLI|EULI|EULIR|EULY|HALEI|HALEY|HALI|HALY|HELEI|HELEY|HELI|HELII|HELIR|HELY|HIALI|HIALY|HIULI|HIULY|HULI|HULY|IALEI|IALEY|IALI|IALY|IELI|IELY|ILEI|ILEIR|ILI|ILIR|ILUI|ILUIR|ILY|IOLI|IOLY|IULI|IULY|LEHI|LEHY|LEIR|LEY|LEYR|LI|LUI|LUIR|LUY|LY|OLEI|OLEIR|OLI|OLIR|OLY|UALI|UELEI|UELI|UILI|ULI|ULY|YALI|YALY|YOLI|YULI|YULY,F,LEI,169,157,326,70523,ELI,0.5184049079754601,3
ALAEL|ALAIL|ALIEL|ALL|ELAEL|ELEL|ELIAL|ELIEL|ELIL|ELOIL|ELYEL|HELIEL|HELIL|HILL|ILAEL|ILIEL|LAEL|LAIL|LAYAL|LEAL|LEIL|LEOL|LIEL|LIL|LOEL|LUEL|OLIEL|ULIEL,M,LEL,,42,42,30866,ELIEL,1.0,3
AELEM|AELEN|AILEN|ALEM|ALEN|AYLEN|EILEN|ELEM|ELEN|ELENN|ELHEM|ELHEN|EULEM|EULEN|HALEM|HALEN|HELEM|HELEN|HELENN|HILEM|HILEN|HUELEN|IALEM|IALEN|IELEM|IELEN|ILEM|ILEN|UALEN|UELEM|UELEN|UILEM|UILEN|YALEN|YELEN,M,LEN,,24,24,118921,ELEN,1.0,3
ELEO|ILEO|LEOR,M,LEO,210,15831,16041,16200,LEO,0.9869085468487002,3
ALEU|ELEU|ILEU|LAEU|LEUR,M,LEU,38,356,394,696,LEU,0.9035532994923858,3
AALEX|ALESS|ALEX|ELEX|HALEX|UALEX,M,LEX,,123,123,312401,ALEX,1.0,3
AELI|AILI|AILY|ALEI|ALEIR|ALEY|ALI|ALIR|ALUIR|ALY|AULEIR|AULI|EILI|ELEI|ELEIR|ELEY|ELHI|ELI|ELIR|ELIY|ELUI|ELUIR|ELY|ELYR|EOLI|EULI|EULIR|EULY|HALEI|HALEY|HALI|HALY|HELEI|HELEY|HELI|HELII|HELIR|HELY|HIALI|HIALY|HIULI|HIULY|HULI|HULY|IALEI|IALEY|IALI|IALY|IELI|IELY|ILEI|ILEIR|ILI|ILIR|ILUI|ILUIR|ILY|IOLI|IOLY|IULI|IULY|LEHI|LEHY|LEI|LEIR|LEYR|LI|LUI|LUIR|LUY|LY|OLEI|OLEIR|OLI|OLIR|OLY|UALI|UELEI|UELI|UILI|ULI|ULY|YALI|YALY|YOLI|YULI|YULY,F,LEY,59,48,107,70523,ELI,0.5514018691588785,3
AALIYAH|AELIA|AILIA|ALAI|ALAIR|ALAUIR|ALAY|ALAYR|ALIA|ALYA|ALYAH|AULAIR|AULIA|ELAI|ELAIR|ELHIA|ELIA|ELIAA|ELIAH|ELIAR|ELYA|EUALIA|EULAIR|EULIA|HALIA|HELAIR|HELIA|HILIA|ILAI|ILAIR|ILIA|IULIA|LAHIR|LAI|LAIR|LAUIR|LAY|LAYR|LIAH|LIIA|LUIA|LYA|OELIA|OLAI|OLAIR|OLIA|UELIA|UILHIA|UILIA|ULIA|YULIA,F,LIA,17378,108,17486,68767,LIA,0.9938236303328377,3
ALIE|ALIER|ELIAE|ELIE|ELIER|HELIE|HELIER|ILIE|LIER|OLIER,F,LIE,117,29,146,1411,ELIER,0.8013698630136986,3
AILIM|AILIN|AILYN|ALIM|ALIN|ALINR|AYLIN|EELIN|EILIN|ELIM|ELIN|ELYN|HALIM|HALIN|HELIM|HELIN|HELYN|LIN|LYN|LYNN|OLIN|UILIN,M,LIM,21,33,54,2307,LIN,0.6111111111111112,3
AILIM|AILIN|AILYN|ALIM|ALIN|ALINR|AYLIN|EELIN|EILIN|ELIM|ELIN|ELYN|HALIM|HALIN|HELIM|HELIN|HELYN|LIM|LYN|LYNN|OLIN|UILIN,M,LIN,312,350,662,2307,LIN,0.5287009063444109,3
AELIO|AILIO|ALIO|AULIO|ELEIO|ELHIO|ELIO|ELIOR|HEILIO|HELHIO|HELIIO|HELIO|HILIO|HUELIO|HULIO|IELIO|ILIO|LEIO|LIOR|LUIO|OELIO|OILIO|UELIO|UILIO|ULIO,M,LIO,35,221,256,177784,HELIO,0.86328125,3
AELIS|AILIS|ALEIS|ALIS|ALIZ|ALUIS|ALUIZ|ALYS|ELEIS|ELIEIS|ELIS|ELIZ|ELUIS|ELUIZ|ELYS|ELYZ|EULIS|HALIS|HELIS|HELIZ|HELYS|IALIS|ILIS|ILUIZ|LEIS|LEIZ|LEYS|LIIS|LIIZ|LIUIS|LIUIZ|LIZ|LUIIS|LUIIZ|LUIS|LUIZ|LUYS|LUYZ|LYS|LYZ|OELIS|OLIS|UALIS|UELIS|UILIS|ULIS|YALIS,F,LIS,3270,169,3439,2081241,LUIZ,0.9508578075021809,3
ELIHU|ELIU|HELIU,M,LIU,232,334,566,1182,LIU,0.5901060070671378,3
,F,LIV,169,,169,169,LIV,1.0,3
AELIS|AILIS|ALEIS|ALIS|ALIZ|ALUIS|ALUIZ|ALYS|ELEIS|ELIEIS|ELIS|ELIZ|ELUIS|ELUIZ|ELYS|ELYZ|EULIS|HALIS|HELIS|HELIZ|HELYS|IALIS|ILIS|ILUIZ|LEIS|LEIZ|LEYS|LIIS|LIIZ|LIS|LIUIS|LIUIZ|LUIIS|LUIIZ|LUIS|LUIZ|LUYS|LUYZ|LYS|LYZ|OELIS|OLIS|UALIS|UELIS|UILIS|ULIS|YALIS,F,LIZ,3637,291,3928,2081241,LUIZ,0.9259164969450102,3
ALOA|ALOAR|ELOA|ELOAH|ELOAR|ELOHA|HELOA|HELOAH|HELOAR|ILOA|LOHA,F,LOA,44,,44,25313,ELOA,1.0,3
ELOE|ILOE,M,LOE,22,32,54,336,ELOE,0.5925925925925926,3
ALOI|ALOIR|ALOY|ALOYR|ELOI|ELOIR|ELOY|ELOYR|HELOI|HELOIR|HELOY|ILOI|ILOIR|LOIR|LOUI|LOUIR|LOY|OLOIR,M,LOI,81,177,258,33861,ELOI,0.686046511627907,3
AILOM|AILON|AILYON|ALOM|ALON|AYLON|EILON|ELOM|ELON|ELYON|HAILON|HAYLON|HELOM|HELON|HILON|ILON|LYON|UILON,M,LON,,40,40,4241,ELON,1.0,3
ALU|ELU|LU,F,LOU,34,23,57,102,LOU,0.5964912280701754,3
ALOI|ALOIR|ALOY|ALOYR|ELOI|ELOIR|ELOY|ELOYR|HELOI|HELOIR|HELOY|ILOI|ILOIR|LOI|LOIR|LOUI|LOUIR|OLOIR,M,LOY,,59,59,33861,ELOI,1.0,3
ALUA|ALUAR|ELUA|ELUAR|LUAA|LUAH|LUAR,M,LUA,840,1702,2542,3178,LUA,0.6695515342250197,3
LUK,M,LUC,,97,97,138,LUC,1.0,3
,M,LUD,36,38,74,74,LUD,0.5135135135135135,3
,F,LUE,37,,37,37,LUE,1.0,3
AELI|AILI|AILY|ALEI|ALEIR|ALEY|ALI|ALIR|ALUIR|ALY|AULEIR|AULI|EILI|ELEI|ELEIR|ELEY|ELHI|ELI|ELIR|ELIY|ELUI|ELUIR|ELY|ELYR|EOLI|EULI|EULIR|EULY|HALEI|HALEY|HALI|HALY|HELEI|HELEY|HELI|HELII|HELIR|HELY|HIALI|HIALY|HIULI|HIULY|HULI|HULY|IALEI|IALEY|IALI|IALY|IELI|IELY|ILEI|ILEIR|ILI|ILIR|ILUI|ILUIR|ILY|IOLI|IOLY|IULI|IULY|LEHI|LEHY|LEI|LEIR|LEY|LEYR|LI|LUIR|LUY|LY|OLEI|OLEIR|OLI|OLIR|OLY|UALI|UELEI|UELI|UILI|ULI|ULY|YALI|YALY|YOLI|YULI|YULY,M,LUI,53,1222,1275,70523,ELI,0.9584313725490196,3
LUC,M,LUK,,41,41,138,LUC,1.0,3
AILO|AILOR|ALO|ALOR|AULO|ELHO|ELO|ELOH|ELOR|EOLO|EULO|HELHO|HELO|HELUO|HILO|IALO|ILHO|ILO|ILOR|IULO|LO|LOR|OAULO|UELHO|UILO|ULO|YULO,F,LUO,27,26,53,4873,ELHO,0.5094339622641509,3
AULUS|ELUZ|LUZ,M,LUS,70,492,562,3512,LUZ,0.8754448398576512,3
AELI|AILI|AILY|ALEI|ALEIR|ALEY|ALI|ALIR|ALUIR|ALY|AULEIR|AULI|EILI|ELEI|ELEIR|ELEY|ELHI|ELI|ELIR|ELIY|ELUI|ELUIR|ELY|ELYR|EOLI|EULI|EULIR|EULY|HALEI|HALEY|HALI|HALY|HELEI|HELEY|HELI|HELII|HELIR|HELY|HIALI|HIALY|HIULI|HIULY|HULI|HULY|IALEI|IALEY|IALI|IALY|IELI|IELY|ILEI|ILEIR|ILI|ILIR|ILUI|ILUIR|ILY|IOLI|IOLY|IULI|IULY|LEHI|LEHY|LEI|LEIR|LEY|LEYR|LI|LUI|LUIR|LY|OLEI|OLEIR|OLI|OLIR|OLY|UALI|UELEI|UELI|UILI|ULI|ULY|YALI|YALY|YOLI|YULI|YULY,M,LUY,,137,137,70523,ELI,1.0,3
AULUS|ELUZ|LUS,F,LUZ,1462,1315,2777,3512,LUZ,0.526467410875045,3
AALIYAH|AELIA|AILIA|ALAI|ALAIR|ALAUIR|ALAY|ALAYR|ALIA|ALYA|ALYAH|AULAIR|AULIA|ELAI|ELAIR|ELHIA|ELIA|ELIAA|ELIAH|ELIAR|ELYA|EUALIA|EULAIR|EULIA|HALIA|HELAIR|HELIA|HILIA|ILAI|ILAIR|ILIA|IULIA|LAHIR|LAI|LAIR|LAUIR|LAY|LAYR|LIA|LIAH|LIIA|LUIA|OELIA|OLAI|OLAIR|OLIA|UELIA|UILHIA|UILIA|ULIA|YULIA,F,LYA,513,,513,68767,LIA,1.0,3
AELIS|AILIS|ALEIS|ALIS|ALIZ|ALUIS|ALUIZ|ALYS|ELEIS|ELIEIS|ELIS|ELIZ|ELUIS|ELUIZ|ELYS|ELYZ|EULIS|HALIS|HELIS|HELIZ|HELYS|IALIS|ILIS|ILUIZ|LEIS|LEIZ|LEYS|LIIS|LIIZ|LIS|LIUIS|LIUIZ|LIZ|LUIIS|LUIIZ|LUIS|LUIZ|LUYS|LUYZ|LYZ|OELIS|OLIS|UALIS|UELIS|UILIS|ULIS|YALIS,F,LYS,483,,483,2081241,LUIZ,1.0,3
AELIS|AILIS|ALEIS|ALIS|ALIZ|ALUIS|ALUIZ|ALYS|ELEIS|ELIEIS|ELIS|ELIZ|ELUIS|ELUIZ|ELYS|ELYZ|EULIS|HALIS|HELIS|HELIZ|HELYS|IALIS|ILIS|ILUIZ|LEIS|LEIZ|LEYS|LIIS|LIIZ|LIS|LIUIS|LIUIZ|LIZ|LUIIS|LUIIZ|LUIS|LUIZ|LUYS|LUYZ|LYS|OELIS|OLIS|UALIS|UELIS|UILIS|ULIS|YALIS,F,LYZ,132,,132,2081241,LUIZ,1.0,3
MA|MAHA|MAR,F,MAA,24,,24,326,MAR,1.0,3
,F,MAB,64,,64,64,MAB,1.0,3
MAK,M,MAC,36,353,389,547,MAC,0.9074550128534704,3
MAER|MAHER|ME,F,MAE,238,,238,344,MAE,1.0,3
,F,MAG,89,20,109,109,MAG,0.8165137614678899,3
MAIR|MAUI|MAUIR|MAY|MAYR|MIA|MIYA,F,MAI,102,49,151,1892,MAIR,0.6754966887417219,3
MAC,M,MAK,20,138,158,547,MAC,0.8734177215189873,3
MA|MAA|MAHA,F,MAR,163,90,253,326,MAR,0.6442687747035574,3
MAXX,M,MAX,271,33953,34224,34244,MAX,0.9920815801776531,3
MAI|MAIR|MAUI|MAUIR|MAYR|MIA|MIYA,F,MAY,270,31,301,1892,MAIR,0.8970099667774086,3
,F,MEG,600,,600,600,MEG,1.0,3
MEIR|MEY|MI|MIR,F,MEI,161,53,214,374,MEI,0.7523364485981309,3
MAEL|MAIL|MAOEL|MAUEL|MIEL|MIHAEL|MIHAIL|MIHEL|MIL|MIUEL|MOEL,F,MEL,4047,112,4159,5487,MEL,0.9730704496273143,3
MEN,M,MEM,,32,32,32,MEM,1.0,3
MEI|MEIR|MI|MIR,F,MEY,61,,61,374,MEI,1.0,3
MEIER|MEYER,F,MIE,142,,142,196,MIE,1.0,3
MEIK|MIC|MYK,M,MIK,,107,107,178,MIK,1.0,3
,M,MIN,52,67,119,119,MIN,0.5630252100840336,3
MIHO|MIYO,F,MIO,27,,27,130,MIYO,1.0,3
,F,MIS,22,,22,22,MIS,1.0,3
MISS,M,MIX,,22,22,91,MISS,1.0,3
MEIK|MIC|MIK,M,MYK,,30,30,178,MIK,1.0,3
NA|NAR,M,NAA,25,39,64,96,NAA,0.609375,3
NADR,F,NAD,29,,29,49,NAD,1.0,3
NAHIR|NAHYR|NAIR|NAUIR|NAY|NAYR|NHAIR|NIA,F,NAI,576,33,609,118131,NAIR,0.9458128078817734,3
NAAM|NAAN|NAHAN|NAM,M,NAN,21,26,47,284,NAAN,0.5531914893617021,3
NAHOR|NAOR,M,NAO,555,751,1306,2284,NAO,0.5750382848392037,3
NA|NAA,F,NAR,32,,32,96,NAA,1.0,3
NAHUR|NAUR,M,NAU,,61,61,294,NAUR,1.0,3
NAHIR|NAHYR|NAI|NAIR|NAUIR|NAYR|NHAIR|NIA,F,NAY,88,,88,118131,NAIR,1.0,3
,F,NEA,312,,312,312,NEA,1.0,3
,M,NED,,71,71,71,NED,1.0,3
NEIR|NEUIR|NEY|NEYR|NI|NIR,M,NEI,388,11050,11438,20875,NEI,0.966077985661829,3
NAEL|NAHUEL|NAIL|NAL|NAUL|NEIEL|NEIL|NEYL|NIEL|NIL|NOEL|NOIL,M,NEL,35,105,140,22201,NOEL,0.75,3
NEN,M,NEM,52,161,213,261,NEM,0.755868544600939,3
,M,NEO,,171,171,171,NEO,1.0,3
NETH,F,NET,44,,44,69,NET,1.0,3
,M,NEU,,45,45,45,NEU,1.0,3
NEI|NEIR|NEUIR|NEYR|NI|NIR,M,NEY,257,8030,8287,20875,NEI,0.9689875708941716,3
NAHIR|NAHYR|NAI|NAIR|NAUIR|NAY|NAYR|NHAIR,F,NIA,48,,48,118131,NAIR,1.0,3
NIC,M,NIK,,70,70,70,NIK,1.0,3
NAEL|NAHUEL|NAIL|NAL|NAUL|NEIEL|NEIL|NEL|NEYL|NIEL|NOEL|NOIL,M,NIL,75,479,554,22201,NOEL,0.8646209386281588,3
NEI|NEIR|NEUIR|NEY|NEYR|NI,F,NIR,29,27,56,20875,NEI,0.5178571428571429,3
NOAH|NOAR|NOHA,M,NOA,112,134,246,822,NOAH,0.5447154471544715,3
NOER,M,NOE,83,10215,10298,10530,NOE,0.9919401825597204,3
NOEI|NOIR,F,NOI,41,39,80,598,NOIR,0.5125,3
NOUR,F,NUR,75,,75,108,NUR,1.0,3
OCIR|OCY|OCYR,M,OCI,,42,42,224,OCIR,1.0,3
HODA|ODAR,F,ODA,145,,145,230,ODA,1.0,3
ODEI|ODEIR|ODIR|ODY|ODYR,M,ODI,132,300,432,4250,ODIR,0.6944444444444444,3
,M,ODO,,71,71,71,ODO,1.0,3
ODEI|ODEIR|ODI|ODIR|ODYR,M,ODY,24,44,68,4250,ODIR,0.6470588235294118,3
AEL|AIL|AL|EL|HIEL|HIL|HOEL|IEL|IL|UEL|UIL|YAEL|YUL,M,OEL,,51,51,476,YAEL,1.0,3
OGER,M,OGE,,21,21,43,OGER,1.0,3
,M,OIR,,42,42,42,OIR,1.0,3
AELE|AILE|ALAER|ALE|ALER|AULER|AYLE|EILER|ELE|ELER|EULE|EULER|EULHER|HAILE|HALE|HEILER|HELE|HELER|HEULER|HIALE|HILER|HULE|IALE|IELE|ILE|ILER|IOLE|IULE|LAE|LAER|LE|UELE|UELER|UEULER|UILE|UILER|ULE|YALE|YOLE|YULE,M,OLE,,27,27,12371,EULER,1.0,3
AELI|AILI|AILY|ALEI|ALEIR|ALEY|ALI|ALIR|ALUIR|ALY|AULEIR|AULI|EILI|ELEI|ELEIR|ELEY|ELHI|ELI|ELIR|ELIY|ELUI|ELUIR|ELY|ELYR|EOLI|EULI|EULIR|EULY|HALEI|HALEY|HALI|HALY|HELEI|HELEY|HELI|HELII|HELIR|HELY|HIALI|HIALY|HIULI|HIULY|HULI|HULY|IALEI|IALEY|IALI|IALY|IELI|IELY|ILEI|ILEIR|ILI|ILIR|ILUI|ILUIR|ILY|IOLI|IOLY|IULI|IULY|LEHI|LEHY|LEI|LEIR|LEY|LEYR|LI|LUI|LUIR|LUY|LY|OLEI|OLEIR|OLIR|OLY|UALI|UELEI|UELI|UILI|ULI|ULY|YALI|YALY|YOLI|YULI|YULY,M,OLI,125,1331,1456,70523,ELI,0.9141483516483516,3
